fired_id,frap_fid,year,frap_name,notes
4414,803,2002,biscuit,
77632,5465,2018,carr,
53009,3432,2012,barry point,
53140,3329,2012,rush,
73260,5100,2017,long valley,
78481,5408,2018,camp,
77659,5643,2018,ranch,mendocino complex
64671,4205,2015,valley,
14321,1310,2004,rumsey,
77407,5629,2018,county,
64634,4150,2015,butte,
57206,3676,2013,rim,
73306,4980,2017,detwiler,
64121,4327,2015,rough,
27780,115,2007,oak,inyo complex
4453,1841,2002,mcnally,
68202,4657,2016,erskine,
17918,3999,2005,wildhorse,hackberry complex
1560,CA4073412017820010809,2001,observation,mtbs
38693,2521,2009,la brea,
27765,274,2007,zaca,
74755,5227,2017,thomas,
24199,1971,2006,day,
9749,571,2003,simi,fired dataset joins the simi and piru fires
9749,776,2003,piru,fired dataset joins the simi and piru fires
29199,3,2007,ranch,
29217,260,2007,buckweed,
38798,2411,2009,station,
19174,1664,2005,topanga,
78493,5661,2018,woolsey,
5082,1544,2002,williams,
9803,1569,2003,grand prix,"fired dataset joins the grand prix, old, and padua fires"
9803,1568,2003,padua,"fired dataset joins the grand prix, old, and padua fires"
68701,1976,2016,ramp,
9803,573,2003,old,
23441,1896,2006,millard,fired dataset joins the millard and sawtooth complex fires
23441,1470,2006,sawtooth complex,fired dataset joins the millard and sawtooth complex fires
24797,1979,2006,esperanza,
34714,2183,2008,freeway_complex,
29169,119,2007,poomacha,fired dataset joins the poomacha and witch fires
29169,273,2007,witch,fired dataset joins the poomacha and witch fires
9810,1845,2003,cedar,
29191,314,2007,harris 2,
9858,1665,2003,mine/otay,
